 0.6803, 0.6856, 0.6830, 0.4232, 0.6744, 0.1971, 0.1887, 0.1637, 0.2334 
 0.6870, 0.6844, 0.6857, 0.4206, 0.6764, 0.1950, 0.1963, 0.1594, 0.2290 
 0.6877, 0.6792, 0.6834, 0.4191, 0.6753, 0.1944, 0.1963, 0.1675, 0.2345 
 0.6808, 0.6820, 0.6814, 0.4279, 0.6740, 0.1971, 0.1767, 0.1609, 0.2236 
 0.6792, 0.6846, 0.6819, 0.4117, 0.6746, 0.1968, 0.1897, 0.1673, 0.2290 
 0.6923, 0.6704, 0.6812, 0.4308, 0.6758, 0.1925, 0.2050, 0.1642, 0.2257 
 0.6869, 0.6709, 0.6788, 0.4323, 0.6740, 0.1944, 0.1919, 0.1630, 0.2323 
 0.6919, 0.6705, 0.6810, 0.4194, 0.6743, 0.1936, 0.1941, 0.1611, 0.2323 
 0.6899, 0.6711, 0.6804, 0.4350, 0.6757, 0.1929, 0.1887, 0.1639, 0.2290 
 0.6831, 0.6794, 0.6813, 0.4329, 0.6756, 0.1951, 0.1897, 0.1627, 0.2366 
 0.6907, 0.6705, 0.6805, 0.4252, 0.6746, 0.1934, 0.1930, 0.1655, 0.2399 
 0.6826, 0.6731, 0.6778, 0.4214, 0.6709, 0.1969, 0.1799, 0.1639, 0.2301 
 0.6919, 0.6708, 0.6812, 0.4130, 0.6755, 0.1925, 0.2050, 0.1630, 0.2301 
 0.6903, 0.6755, 0.6828, 0.4228, 0.6757, 0.1934, 0.2181, 0.1664, 0.2214 
 0.7023, 0.6493, 0.6747, 0.4276, 0.6714, 0.1915, 0.2050, 0.1628, 0.2323 
 0.6948, 0.6625, 0.6783, 0.4138, 0.6736, 0.1919, 0.1963, 0.1616, 0.2345 
 0.6841, 0.6823, 0.6832, 0.4086, 0.6751, 0.1950, 0.1952, 0.1618, 0.2246 
 0.6848, 0.6761, 0.6804, 0.4321, 0.6739, 0.1954, 0.1985, 0.1655, 0.2268 
 0.6834, 0.6742, 0.6788, 0.4256, 0.6728, 0.1966, 0.1985, 0.1620, 0.2356 
 0.6902, 0.6780, 0.6841, 0.4349, 0.6794, 0.1917, 0.2028, 0.1630, 0.2366 


